back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
164.4,158.8,179.9,178.6,91.4,94.8,92.1,95.5,1.1
164.1,158.7,179.8,178.7,91.4,94.8,92.4,95.4,1.2
163.1,159.0,179.2,179.0,91.5,94.9,93.0,95.3,1.2
162.7,159.1,178.9,179.2,91.7,94.9,93.1,95.4,1.2
162.4,159.1,178.6,179.7,91.5,95.5,93.3,95.4,1.2
162.4,159.2,178.5,180.0,91.1,96.1,93.3,95.4,1.2
162.4,159.3,178.5,179.7,91.2,96.3,93.3,95.3,1.2
162.2,159.4,178.3,179.4,91.2,96.5,93.5,95.3,1.2
161.4,159.6,177.8,179.4,91.0,96.6,94.0,95.2,1.2
160.4,160.6,176.8,178.8,90.6,96.6,94.8,94.5,1.2
159.7,160.8,176.1,177.7,90.4,97.8,95.7,94.1,1.2
159.7,160.1,175.7,178.4,90.5,97.6,95.6,95.1,1.2
159.9,160.0,175.4,178.7,91.0,96.7,95.7,95.4,1.2
159.8,160.0,175.4,178.8,91.1,96.6,95.6,95.5,1.2
159.9,160.3,175.3,179.0,91.1,96.1,95.6,95.3,1.2
159.9,160.4,174.7,179.3,90.5,95.9,95.8,95.2,1.2
160.0,160.3,174.7,179.6,90.0,96.1,95.5,95.5,1.2
160.2,160.0,173.9,179.4,89.5,95.3,95.8,95.7,1.2
160.0,159.5,172.5,178.1,88.6,94.5,96.6,96.0,1.2
160.4,159.2,171.5,177.6,87.2,94.5,96.6,96.1,1.2
160.2,158.5,170.0,176.2,85.7,94.1,96.8,96.9,1.3
160.5,158.1,169.2,174.9,85.0,93.3,97.0,97.3,1.3
160.6,158.0,168.3,174.5,83.5,93.3,96.7,97.4,1.3
160.7,157.7,166.9,173.4,82.1,92.7,96.9,97.7,1.3
161.0,157.6,166.7,172.7,81.5,92.6,96.6,98.0,1.3
160.8,157.5,165.6,172.4,80.5,92.5,96.6,98.4,1.3
161.3,157.5,165.7,171.9,79.9,92.0,96.2,98.2,1.3
161.7,157.2,166.8,170.5,80.3,91.0,95.5,98.6,1.2
161.2,157.0,166.5,169.1,80.7,89.6,95.9,98.7,1.3
161.9,156.9,167.7,168.6,81.3,89.2,95.1,99.1,1.2
164.0,157.0,172.1,168.7,83.4,89.4,93.3,98.7,1.2
164.2,157.2,173.0,168.7,83.4,90.0,93.1,98.7,1.2
164.8,157.4,174.7,169.2,84.3,90.3,92.1,98.6,1.2
165.3,158.0,176.2,170.6,84.8,91.4,91.1,98.3,1.2
165.3,158.6,176.8,172.2,84.3,93.1,90.7,97.8,1.2
165.1,159.3,177.3,173.9,84.8,94.1,90.7,97.0,1.1
164.8,160.2,179.9,175.2,87.4,94.3,90.6,95.8,1.1
163.7,161.0,179.9,176.6,88.7,94.3,91.3,95.2,1.1
162.5,161.9,179.5,178.0,89.3,94.8,92.0,94.7,1.1
162.1,162.6,179.5,179.8,90.5,95.2,92.6,93.7,1.1
162.1,163.3,179.8,178.2,91.3,96.2,92.3,93.1,1.1
162.0,164.0,178.2,177.2,92.8,96.5,92.3,92.4,1.1
162.9,164.6,176.0,175.8,94.6,97.0,91.7,91.7,1.1
163.7,165.8,174.0,173.2,95.7,98.4,90.9,90.5,1.0
165.0,166.7,172.4,170.0,96.2,100.6,89.8,89.4,1.0
166.2,167.0,170.3,169.0,97.0,101.4,89.0,88.7,1.0
168.4,167.1,167.2,167.8,99.1,101.8,87.2,88.6,0.9
169.0,167.6,166.4,167.3,99.4,102.1,86.7,88.4,0.9
169.4,167.7,165.7,165.9,99.7,103.0,86.1,88.2,0.9
170.2,167.8,163.4,165.9,100.6,103.2,84.8,88.3,0.9
170.3,167.0,163.2,166.0,100.6,103.4,84.9,88.3,0.9
170.2,166.3,163.3,166.9,100.4,103.1,84.9,88.8,0.9
171.6,166.1,164.3,166.9,98.5,103.2,84.3,88.6,0.9
172.5,165.9,163.7,167.5,100.2,100.8,83.2,89.0,0.9
173.1,166.0,163.3,167.5,101.0,99.7,82.4,89.0,0.9
174.4,166.6,163.8,167.3,103.0,95.9,81.7,88.3,0.9
175.4,167.6,162.9,166.8,104.5,93.9,80.6,87.5,0.9
176.7,169.0,163.1,165.2,104.4,93.4,80.2,85.9,0.9
176.6,169.8,163.4,164.6,104.8,92.6,80.4,85.0,0.9
178.7,172.5,161.6,162.3,105.1,92.5,79.0,82.5,0.8
179.1,174.3,160.2,160.7,104.7,93.5,77.7,81.4,0.8
177.2,173.9,155.5,162.0,105.2,92.8,74.3,81.3,0.8
175.8,172.6,154.4,164.8,104.8,91.7,72.6,82.9,0.8
174.3,170.9,152.2,167.1,105.4,90.6,71.0,84.3,0.8
172.2,168.8,150.3,170.6,106.2,88.9,68.9,87.0,0.8
171.2,166.1,147.9,174.0,107.8,87.7,68.0,89.4,0.8
167.5,163.7,143.4,176.7,107.9,87.8,64.4,91.4,0.8
166.5,162.0,142.0,178.2,106.8,88.8,63.3,92.4,0.8
163.6,160.0,138.8,179.7,105.1,90.5,60.3,94.3,0.8
175.5,159.2,170.1,178.9,96.2,88.7,81.6,94.4,1.0
175.2,159.0,157.3,179.2,98.3,90.2,71.9,94.6,0.9
167.8,158.9,148.4,178.9,98.7,90.5,64.1,94.6,0.9
149.1,154.9,127.0,174.8,103.0,88.9,46.3,97.7,0.9
129.7,154.6,106.6,174.2,101.2,91.8,26.5,98.8,0.8
129.1,154.8,104.3,174.5,104.1,90.2,26.6,97.6,0.8
122.1,150.8,97.0,169.6,105.6,88.5,20.2,101.3,0.8
117.2,118.7,92.2,137.6,106.8,87.5,15.1,133.9,0.8
113.7,51.6,88.7,31.8,106.2,89.3,10.7,54.7,0.8
111.8,57.7,85.9,37.4,106.5,90.3,8.1,48.0,0.7
101.9,39.0,75.7,18.4,106.5,91.1,1.6,66.7,0.7
